seed,n_outliers,oracle,naive
100,112,0.017341592022986706,0.19276121569575874
101,103,0.014823737561925907,0.1110555176710594
102,84,0.028004711475384268,0.23137256768956665
103,103,0.02023011715984221,0.26588493975554284
104,92,0.025499061874535017,0.3181779903383021
105,107,0.00665219553401261,0.37683792369344793
106,103,0.010978498923839706,0.18829779147291267
107,108,0.01814806280077744,0.24667909745283076
108,105,0.010281797807167783,0.3479877804561628
109,104,0.035429596344434024,0.2985071182038103
110,106,0.029177220324308716,0.21518279794567027
111,103,0.024105032481692275,0.20321435416479453
112,98,0.017087008618303146,0.26893181339507977
113,83,0.01226372419703331,0.2258435308566741
114,125,0.02123986536554438,0.32763270470925066
115,108,0.027163449973541486,0.16113585538751826
116,85,0.0052460701527080955,0.20416157640820806
117,103,0.016999169625108966,0.20680498715007192
118,111,0.010147815503470685,0.33443576098196115
119,86,0.022006060012991092,0.08500115989997113
120,100,0.027324533579705847,0.19621902291273105
121,103,0.02342700598920357,0.3017724780522173
122,96,0.011002486249456232,0.25218334635909917
123,82,0.020839102207836645,0.23448186415988875
124,92,0.011479534020762313,0.18065300382719152
125,96,0.010877499652293779,0.19955444988553192
126,95,0.022787572189528038,0.3914965304896418
127,104,0.013371204805553696,0.25117039143828784
128,99,0.011204669598163412,0.2323030645781286
129,116,0.03396997124244429,0.28784155247542303
130,89,0.014962476992144588,0.29055786939358585
131,95,0.016226297590203394,0.30250078503483535
132,105,0.011093797501113776,0.19573492738058848
133,92,0.01868848033049066,0.3225093023804932
134,89,0.0257089069105129,0.1398245453899092
135,110,0.01231602074523932,0.2180950003494971
136,96,0.014698773664041912,0.20922113558620772
137,109,0.03548322915317071,0.2431500510920868
138,118,0.006992245998919922,0.25553657883254116
139,113,0.02119821054653688,0.23714486565095533
140,111,0.011792014267320199,0.31366765080613457
141,101,0.026431456195019888,0.22714989252831402
142,105,0.028170821617954693,0.22648244485927532
143,98,0.020454383217133942,0.1635501916893996
144,105,0.02356615152857154,0.3526239209601726
145,102,0.016001037660827215,0.2016595128058402
146,109,0.0124310245785789,0.1477174322921739
147,85,0.008459963531548572,0.20146411995691352
148,95,0.014339083413046703,0.25758978271943883
149,109,0.017260070461778566,0.22444997291823904
150,101,0.021278389127194923,0.16239821097265913
151,110,0.006858661399559444,0.2192066393796676
152,106,0.014701878492931843,0.3289920281617896
153,97,0.026408209152647254,0.2053540579938852
154,88,0.016911128085448247,0.19089540509530245
155,92,0.007770704285011421,0.1363752654742571
156,112,0.013242510150967009,0.24141601052899914
157,96,0.01134564568103197,0.2915291016362076
158,117,0.004609918540460518,0.38848116929646387
159,104,0.005550194955002012,0.328967232362545
160,104,0.03669148895362565,0.19759059496968978
161,115,0.028631070806027264,0.2474857609054316
162,111,0.030466969779165833,0.40044633373446714
163,91,0.015335853318384106,0.2158704919643509
164,96,0.0058758957764415,0.25613124408029875
165,90,0.024131899786934197,0.21014109211378162
166,85,0.01820672900735124,0.14854036759747424
167,109,0.013504677892460857,0.2246118862935556
168,89,0.026916647527938837,0.2283792466830822
169,95,0.010977327627095959,0.2657846729662316
170,90,0.018258952204748654,0.1851731925799911
171,102,0.00894175300832875,0.38452192974264066
172,115,0.015345125771182,0.1617020120724472
173,107,0.03127678493985452,0.45728448755919315
174,95,0.013361398287007043,0.23343856747508585
175,93,0.015267841843138345,0.21623647917522784
176,105,0.027339709521641227,0.3233144934666608
177,96,0.027429351826942703,0.23887445970063695
178,113,0.02738907049533111,0.2683822927850156
179,118,0.02352839697847415,0.3615177663534002
180,121,0.028362398104087264,0.16031583623195642
181,101,0.02151362835571381,0.3150739084289229
182,123,0.018003463514500707,0.1942241492085306
183,101,0.022619674287033407,0.24121548620935768
184,106,0.008369468210118783,0.2624560263632868
185,89,0.03891211976353294,0.18650800225956285
186,105,0.01670052723233791,0.32326584263976854
187,98,0.022081708663530077,0.17386388577943043
188,103,0.00704113964639504,0.2835948598059162
189,108,0.011502388658966954,0.2256838710001453
190,82,0.018456625599294948,0.240105877881643
191,120,0.01770432894142493,0.2112154603712424
192,81,0.017191736746344777,0.17732984233166366
193,106,0.030423368100959823,0.21566064189863876
194,98,0.01362290230961354,0.2189364609919674
195,96,0.02774513950418869,0.2696399048083644
196,100,0.016638555975905998,0.22251710708803324
197,109,0.021261837438238965,0.30741137943243363
198,88,0.005163611510475421,0.22119845380594308
199,99,0.033114583271974404,0.1675542430489874
