seed,n_outliers,Oracle,Naive,ratio_lr0.01,ratio_lr0.01_clean_kept,ratio_lr0.01_outliers_left,ratio_lr0.01_cycles,ratio_lr0.01_stopped,ratio_lr0.01_removed_clean_pos,ratio_lr0.01_removed_clean_neg,ratio_lr0.1,ratio_lr0.1_clean_kept,ratio_lr0.1_outliers_left,ratio_lr0.1_cycles,ratio_lr0.1_stopped,ratio_lr0.1_removed_clean_pos,ratio_lr0.1_removed_clean_neg,ratio_lr0.5,ratio_lr0.5_clean_kept,ratio_lr0.5_outliers_left,ratio_lr0.5_cycles,ratio_lr0.5_stopped,ratio_lr0.5_removed_clean_pos,ratio_lr0.5_removed_clean_neg,readmit_lr0.01,readmit_lr0.01_clean_kept,readmit_lr0.01_outliers_left,readmit_lr0.01_cycles,readmit_lr0.01_stopped,readmit_lr0.01_removed_clean_pos,readmit_lr0.01_removed_clean_neg,readmit_lr0.1,readmit_lr0.1_clean_kept,readmit_lr0.1_outliers_left,readmit_lr0.1_cycles,readmit_lr0.1_stopped,readmit_lr0.1_removed_clean_pos,readmit_lr0.1_removed_clean_neg,readmit_lr0.5,readmit_lr0.5_clean_kept,readmit_lr0.5_outliers_left,readmit_lr0.5_cycles,readmit_lr0.5_stopped,readmit_lr0.5_removed_clean_pos,readmit_lr0.5_removed_clean_neg
37,98,0.02066079323937607,0.09815058274047982,0.019707661490730093,810,0,3,True,43,49,0.019762703833874542,810,0,3,True,43,49,0.019715697944952485,810,0,3,True,43,49,0.018020926356189015,899,2,3,True,2,1,0.018036262408528243,899,2,3,True,2,1,0.01804810805270846,899,2,3,True,2,1
38,97,0.019803797659651262,0.2922424896992787,0.02097133472740365,810,0,3,True,48,45,0.020977336199344918,810,0,3,True,48,45,0.020986180718726863,810,0,3,True,48,45,0.020803123627710945,901,0,3,True,2,0,0.020791818844998835,901,0,3,True,2,0,0.020798676998911803,901,0,3,True,2,0
39,109,0.030184486862012562,0.2857460426749545,0.023725367489339393,810,0,3,True,46,35,0.023774906464103154,810,0,3,True,46,35,0.02497264228964194,810,0,3,True,45,36,0.030904658093769976,886,0,4,True,1,4,0.030915286265023177,886,0,4,True,1,4,0.03090149627948775,886,0,4,True,1,4
40,113,0.0235472390261733,0.31308470448384024,0.01618237851987398,810,0,3,True,42,35,0.01616218598924238,810,0,3,True,42,35,0.0161491513247381,810,0,3,True,42,35,0.022982774489967866,886,0,4,True,1,0,0.02296587274908754,886,0,4,True,1,0,0.022936590749983967,886,0,4,True,1,0
1,103,0.035043396200590764,0.18370258848476348,0.05031281490035237,810,0,3,True,47,40,0.0503398023912385,810,0,3,True,47,40,0.050340128714335845,810,0,3,True,47,40,0.035029589037197946,897,0,4,True,0,0,0.035080540184964086,897,0,4,True,0,0,0.035038738217152414,897,0,4,True,0,0
2,105,0.011289710461453054,0.2482839930962382,0.013325646009969626,810,0,3,True,47,38,0.013415597973663344,810,0,3,True,47,38,0.013369038180902307,810,0,3,True,47,38,0.009875454808840067,890,0,4,True,3,2,0.009843296086605845,890,0,4,True,3,2,0.009828834811073864,890,0,4,True,3,2
3,105,0.011506935332233912,0.4254975966538167,0.021626068399016728,810,0,3,True,46,39,0.02156669215993052,810,0,3,True,46,39,0.02157771589736415,810,0,3,True,46,39,0.014006198445867958,891,0,4,True,3,1,0.014030636586324278,891,0,4,True,3,1,0.014015661068543621,891,0,4,True,3,1
4,108,0.02737253789791194,0.22894181935989413,0.031147263194242287,810,0,3,True,47,35,0.03112532053613398,810,0,3,True,47,35,0.031158318513153038,810,0,3,True,47,35,0.02846412020500477,885,0,4,True,5,2,0.028449695356753055,885,0,4,True,5,2,0.028426999367681824,885,0,4,True,5,2
5,119,0.013845341829925544,0.20619033785846788,0.011500846620764007,810,0,3,True,41,30,0.011512274983702907,810,0,3,True,41,30,0.01153968043707264,810,0,3,True,41,30,0.016126277645876902,877,1,4,True,2,2,0.016124087739452047,877,1,4,True,2,2,0.016147784107737928,877,1,4,True,2,2
6,97,0.020566573628002686,0.1453453402607723,0.014402394096505788,810,0,3,True,43,50,0.01448239058733369,810,0,3,True,43,50,0.014427178448811884,810,0,3,True,43,50,0.0213996716033601,899,0,4,True,0,4,0.02143141183270526,899,0,4,True,0,4,0.021444593412619218,899,0,4,True,0,4
