seed,rule,k,learning_rate,weight_error,oracle,cycles,clean_total,clean_kept,outliers_left,removed_clean_pos_noise,removed_clean_neg_noise,kept_clean_mean_noise
0,ratio,2.5,0.01,0.03176026440998109,0.029211322573062835,3,908,810,0,56,42,-0.004367836507699843
0,ratio,2.5,0.1,0.03174452969973787,0.029211322573062835,3,908,810,0,56,42,-0.004367836507699843
0,ratio,2.5,0.5,0.03175445298249585,0.029211322573062835,3,908,810,0,56,42,-0.004367836507699843
0,ratio,3.0,0.01,0.03176026440998109,0.029211322573062835,3,908,810,0,56,42,-0.004367836507699843
0,ratio,3.0,0.1,0.03174452969973787,0.029211322573062835,3,908,810,0,56,42,-0.004367836507699843
0,ratio,3.0,0.5,0.03175445298249585,0.029211322573062835,3,908,810,0,56,42,-0.004367836507699843
0,ratio,4.0,0.01,0.03010180392778992,0.029211322573062835,2,908,897,3,11,0,-0.004705248917494062
0,ratio,4.0,0.1,0.030061568724525978,0.029211322573062835,2,908,897,3,11,0,-0.004705248917494062
0,ratio,4.0,0.5,0.03007399969918687,0.029211322573062835,2,908,897,3,11,0,-0.004705248917494062
0,threshold,2.5,0.01,0.024305352400658554,0.029211322573062835,3,908,863,0,40,5,-0.00911831939296298
0,threshold,2.5,0.1,0.02432211897549666,0.029211322573062835,3,908,863,0,40,5,-0.00911831939296298
0,threshold,2.5,0.5,0.02428818915331977,0.029211322573062835,3,908,863,0,40,5,-0.00911831939296298
0,threshold,3.0,0.01,0.030504928655891005,0.029211322573062835,3,908,895,1,11,2,-0.003918847168552803
0,threshold,3.0,0.1,0.030499134038790055,0.029211322573062835,3,908,895,1,11,2,-0.003918847168552803
0,threshold,3.0,0.5,0.030504171413096536,0.029211322573062835,3,908,895,1,11,2,-0.003918847168552803
0,threshold,4.0,0.01,0.03148032441058479,0.029211322573062835,2,908,907,3,1,0,-0.0019949912794751646
0,threshold,4.0,0.1,0.03144525538821561,0.029211322573062835,2,908,907,3,1,0,-0.0019949912794751646
0,threshold,4.0,0.5,0.03144748120429101,0.029211322573062835,2,908,907,3,1,0,-0.0019949912794751646
1,ratio,2.5,0.01,0.05031281490035237,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,2.5,0.1,0.0503398023912385,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,2.5,0.5,0.050340128714335845,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,3.0,0.01,0.05031281490035237,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,3.0,0.1,0.0503398023912385,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,3.0,0.5,0.050340128714335845,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,4.0,0.01,0.05031281490035237,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,4.0,0.1,0.0503398023912385,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,ratio,4.0,0.5,0.050340128714335845,0.035043396200590764,3,897,810,0,47,40,-0.005600824797835589
1,threshold,2.5,0.01,0.042145355445223145,0.035043396200590764,3,897,834,0,59,4,-0.014952705497397934
1,threshold,2.5,0.1,0.042145947236559234,0.035043396200590764,3,897,834,0,59,4,-0.014952705497397934
1,threshold,2.5,0.5,0.0421338006624495,0.035043396200590764,3,897,834,0,59,4,-0.014952705497397934
1,threshold,3.0,0.01,0.03671450000638163,0.035043396200590764,3,897,877,0,20,0,-0.008339008161765707
1,threshold,3.0,0.1,0.03671451876955888,0.035043396200590764,3,897,877,0,20,0,-0.008339008161765707
1,threshold,3.0,0.5,0.036730376011960886,0.035043396200590764,3,897,877,0,20,0,-0.008339008161765707
1,threshold,4.0,0.01,0.03502755413589107,0.035043396200590764,3,897,897,0,0,0,-0.0032212360449797293
