seed,n_outliers,n_clean,Oracle,Naive,ours_lr0.01,ours_lr0.1,ours,ours_clean_kept,ours_outliers_left,ours_stopped,ours_cycles,ours_max_cycle_epochs,ours_sigma_mad_final,refit_with_kept_outliers,refit_without_kept_outliers,excl_first_pos,excl_first_neg,excl_final_pos,excl_final_neg,xw1_kept_outliers,xw1_removed_outliers_sum,xw1_removed_outliers_n,xw1_removed_outliers_min,ours_lr0.5
141,101,899,0.026431456195019888,0.22714989252831402,0.026441845854264824,0.026440267241132184,0.026440267241132184,899,0,True,3,232,0.10522636430217229,0.026431456195019888,0.026431456195019888,32,0,0,0,,98.22141856575078,101,0.25227107856976927,0.026456985306310275
142,105,895,0.028170821617954693,0.22648244485927532,0.036303611836666645,0.036290255751672995,0.036290255751672995,888,0,True,3,223,0.09531483330559447,0.036245157295454127,0.036245157295454127,10,0,5,2,,68.9993789153221,105,0.19708133181687829,0.036230978281754395
143,98,902,0.020454383217133942,0.1635501916893996,0.018875733631204594,0.018889027924832078,0.018889027924832078,897,0,False,5,227,0.09441466886553238,0.01887976692221582,0.01887976692221582,36,0,3,2,,75.88003001720811,98,0.12803676793230984,0.018868912341815158
144,105,895,0.02356615152857154,0.3526239209601726,0.017813724861460226,0.017836220058838698,0.017836220058838698,892,0,True,4,227,0.09863365163932757,0.017848366051338858,0.017848366051338858,57,0,1,2,,138.02214591247426,105,0.3597644603043748,0.017839149696533198
145,102,898,0.016001037660827215,0.2016595128058402,0.015378735171044874,0.015358162972634782,0.015358162972634782,896,0,True,3,231,0.09891259342334668,0.01535624614019857,0.01535624614019857,16,0,2,0,,79.27306397155769,102,0.3359534933227831,0.015358353994362311
146,109,891,0.0124310245785789,0.1477174322921739,0.0127428506307881,0.012807321795837686,0.012807321795837686,888,1,True,3,240,0.09615076397631452,0.012785238911417977,0.011337514609843342,4,0,1,2,0.088060,55.458711186227134,108,0.18585145685120175,0.012767029102407965
147,85,915,0.008459963531548572,0.20146411995691352,0.009189526556137575,0.009143111820577324,0.009143111820577324,914,0,True,3,219,0.10546227774904686,0.00914649022720454,0.00914649022720454,11,0,1,0,,74.09273746761014,85,0.3194818789338572,0.009138569999226454
148,95,905,0.014339083413046703,0.25758978271943883,0.010684952146016178,0.010701796482695024,0.010701796482695024,902,1,True,4,221,0.09963414515045184,0.010709888686485028,0.011232476813046751,32,0,2,1,0.225281,103.08322426960905,94,0.28059818083335547,0.01067374102832139
149,109,891,0.017260070461778566,0.22444997291823904,0.01857829742159258,0.01855641165115298,0.01855641165115298,889,0,True,4,231,0.10023361210801567,0.018548211706540408,0.018548211706540408,25,0,1,1,,100.14073181548308,109,0.16538657726823064,0.01854465365587746
150,101,899,0.021278389127194923,0.16239821097265913,0.021084424136974145,0.021101802998298273,0.021101802998298273,893,0,True,4,232,0.08881013358793717,0.021074389074694916,0.021074389074694916,11,0,1,5,,68.07170821102115,101,0.15842400554613773,0.021065387205640215
151,110,890,0.006858661399559444,0.2192066393796676,0.005292261489958101,0.005294915272387657,0.005294915272387657,888,1,True,4,222,0.09626035601623588,0.00530013097110234,0.005081746065211817,33,0,1,1,0.136793,101.26004651143704,109,0.20156790347410608,0.005288342058878609
152,106,894,0.014701878492931843,0.3289920281617896,0.01598514695796185,0.015934174259658863,0.015934174259658863,891,0,True,4,218,0.10301817581574028,0.01594317271259648,0.01594317271259648,78,0,1,2,,146.16007622822883,106,0.5251622851168851,0.015918722424822684
153,97,903,0.026408209152647254,0.2053540579938852,0.026367685162403735,0.026403318816521096,0.026403318816521096,903,0,True,4,208,0.10614576481453848,0.026408209152647254,0.026408209152647254,38,0,0,0,,105.29586686469628,97,0.2025923323458708,0.026425090720658004
154,88,912,0.016911128085448247,0.19089540509530245,0.019944439450719963,0.019943718977590622,0.019943718977590622,909,0,True,3,229,0.09188842480189786,0.019989079755456426,0.019989079755456426,30,0,3,0,,83.05922873035797,88,0.27544836192369315,0.01998865326180714
155,92,908,0.007770704285011421,0.1363752654742571,0.007740569177779021,0.007754018060953775,0.007754018060953775,905,1,True,3,236,0.10210523303493699,0.007745344773243406,0.0079718701835968,6,0,2,1,0.127317,50.83589022861625,91,0.17192514789634358,0.007746385022900432
156,112,888,0.013242510150967009,0.24141601052899914,0.012797773695688026,0.013520997577482216,0.013520997577482216,885,2,True,3,242,0.09596756028611243,0.013487471137696978,0.012233607095379193,21,0,2,1,0.179692;0.188494,83.11495473024674,110,0.1801953381711462,0.012799787017650362
157,96,904,0.01134564568103197,0.2915291016362076,0.018482255719601135,0.018462637448517928,0.018462637448517928,899,0,True,4,228,0.09124541343928046,0.018437413623191803,0.018437413623191803,21,0,1,4,,113.20365152439922,96,0.1598150280613403,0.01840951363568267
158,117,883,0.004609918540460518,0.38848116929646387,0.008988944121332398,0.008969578077801,0.008969578077801,877,0,True,3,218,0.09346095678630653,0.00897235273433029,0.00897235273433029,26,0,4,2,,133.91051551606404,117,0.4085702882201543,0.008951332411426937
159,104,896,0.005550194955002012,0.328967232362545,0.005603962727905134,0.005646044881943512,0.005646044881943512,895,0,True,4,207,0.10046901088961588,0.005632572249676543,0.005632572249676543,41,0,1,0,,129.39548750311735,104,0.42075129482933815,0.005614367191043192
160,104,896,0.03669148895362565,0.19759059496968978,0.032648661414094005,0.03270356303264867,0.03270356303264867,890,0,True,4,207,0.09554908386028892,0.03267120799071736,0.03267120799071736,15,0,2,4,,77.67853315614323,104,0.18762588111432918,0.03266889222130556
161,115,885,0.028631070806027264,0.2474857609054316,0.02783674555996434,0.02782183238072426,0.02782183238072426,880,0,True,3,236,0.09713232465049543,0.027786228247529843,0.027786228247529843,54,0,3,2,,106.14703779783832,115,0.20028465777001053,0.027753077217628947
162,111,889,0.030466969779165833,0.40044633373446714,0.03031381696227011,0.03026550679016596,0.03026550679016596,885,0,True,3,221,0.10045277417803178,0.030271346169323348,0.030271346169323348,118,8,3,1,,177.69824514335798,111,0.2267862816879601,0.030249930933496455
163,91,909,0.015335853318384106,0.2158704919643509,0.016750062825530456,0.01670942742771392,0.01670942742771392,902,0,True,4,223,0.09736707262838883,0.016712227322005196,0.016712227322005196,70,0,2,5,,99.08963047188396,91,0.18705020284535923,0.01671202339580829
164,96,904,0.0058758957764415,0.25613124408029875,0.008554165782868366,0.008512033151324472,0.008512033151324472,902,0,True,3,197,0.1003177987753618,0.008515413432280816,0.008515413432280816,65,0,0,2,,120.95904023544998,96,0.48961423216992306,0.008509862473325526
165,90,910,0.024131899786934197,0.21014109211378162,0.024154077118680926,0.024221517386758804,0.024221517386758804,908,0,True,3,231,0.1129041886858109,0.02420839709820404,0.02420839709820404,13,0,1,1,,87.16099753610692,90,0.2904633744434681,0.024197646499116283
166,85,915,0.01820672900735124,0.14854036759747424,0.015912762914746366,0.01595972377580252,0.01595972377580252,912,0,True,3,230,0.09679411490149402,0.01594493396622399,0.01594493396622399,18,0,2,1,,66.01683877215791,85,0.18911302154190565,0.015941950474165505
167,109,891,0.013504677892460857,0.2246118862935556,0.014455764146766683,0.014512197921845845,0.014512197921845845,889,1,True,3,235,0.10270381211885544,0.01447604794490486,0.014907990897127297,12,0,2,0,0.139398,77.4197282551584,108,0.14717056163838815,0.014453163979340173
168,89,911,0.026916647527938837,0.2283792466830822,0.0251462347523011,0.02374401703522875,0.02374401703522875,907,0,True,4,213,0.0918877688792547,0.02377549090698617,0.02377549090698617,41,0,1,3,,106.17045715153992,89,0.2736597945544273,0.025196870654910372
169,95,905,0.010977327627095959,0.2657846729662316,0.010724123813618496,0.010755051316879587,0.010755051316879587,901,0,False,5,230,0.09427303342950935,0.01075632211215149,0.01075632211215149,43,0,2,2,,113.51317413474479,95,0.31331479254961625,0.010724230045654452
170,90,910,0.018258952204748654,0.1851731925799911,0.02169866723529102,0.02174413269050627,0.02174413269050627,907,0,True,4,224,0.10053477176894647,0.021724226560771453,0.021724226560771453,32,0,2,1,,76.50016941740832,90,0.23685452876101803,0.02175111293989661
171,102,898,0.00894175300832875,0.38452192974264066,0.006661872301531728,0.006628645985015452,0.006628645985015452,894,0,True,4,216,0.0967782615237085,0.0066596909847605875,0.0066596909847605875,83,3,3,1,,153.47394008528119,102,0.38108527968707295,0.006661912875343342
172,115,885,0.015345125771182,0.1617020120724472,0.01344420316498727,0.013515771837694741,0.013515771837694741,884,0,True,3,223,0.09420205609301666,0.01347982980281443,0.01347982980281443,11,0,1,0,,71.76375748146361,115,0.20064674447549874,0.01345406233586771
173,107,893,0.03127678493985452,0.45728448755919315,0.03456364826027288,0.034590942612332184,0.034590942612332184,890,0,True,4,217,0.10026156563011902,0.03459177447483186,0.03459177447483186,39,1,1,2,,156.2636476319889,107,0.5195767401080901,0.03457864906984576
174,95,905,0.013361398287007043,0.23343856747508585,0.012840423243437796,0.01286112335486683,0.01286112335486683,902,0,True,3,228,0.10155287758169192,0.012874275524003933,0.012874275524003933,30,0,2,1,,97.04186726408716,95,0.41658444601797295,0.01286533941808462
175,93,907,0.015267841843138345,0.21623647917522784,0.015305631522990665,0.01524321020593484,0.01524321020593484,903,0,True,4,221,0.099567368611606,0.015296881888163258,0.015296881888163258,48,0,3,1,,103.51281898759777,93,0.22720766023718955,0.015337305601565702
176,105,895,0.027339709521641227,0.3233144934666608,0.027901624211360603,0.02788670044676713,0.02788670044676713,894,0,True,4,205,0.10605190219624727,0.02785867318600054,0.02785867318600054,63,0,1,0,,141.804474619596,105,0.4873139134356694,0.02787918737855059
177,96,904,0.027429351826942703,0.23887445970063695,0.026250952722482433,0.026222591385679443,0.026222591385679443,901,0,True,4,227,0.09490465983852284,0.026250851546935752,0.026250851546935752,29,0,2,1,,93.0765729616651,96,0.2530625337586512,0.026232844438164926
178,113,887,0.02738907049533111,0.2683822927850156,0.028733310870064293,0.028705723276694992,0.028705723276694992,885,0,True,4,233,0.09893069522056937,0.028722022188292267,0.028722022188292267,33,0,2,0,,111.84555148242934,113,0.12374607383865308,0.028725654962842014
179,118,882,0.02352839697847415,0.3615177663534002,0.02225620154802589,0.02227753899642483,0.02227753899642483,880,0,True,4,209,0.10528211367250642,0.022292174139596214,0.022292174139596214,92,5,2,0,,167.65125914626634,118,0.5050449573177479,0.022274985459549194
180,121,879,0.028362398104087264,0.16031583623195642,0.03046739755561945,0.030506559854176198,0.030506559854176198,876,1,True,3,237,0.09350375752929269,0.030501330955847998,0.02990372321258138,13,0,0,3,0.102728,75.90263022217945,120,0.2065043583006407,0.030509339505660798
181,101,899,0.02151362835571381,0.3150739084289229,0.021487946157959025,0.02149977043339839,0.02149977043339839,897,0,True,4,217,0.09801180597188658,0.021493856294126316,0.021493856294126316,69,1,1,1,,139.89653348240432,101,0.6124457384914421,0.02150170026353437
182,123,877,0.018003463514500707,0.1942241492085306,0.015757859493750432,0.015675171558640774,0.015675171558640774,875,0,True,3,236,0.10142910581335814,0.015714877157151003,0.015714877157151003,13,0,1,1,,80.42168922597656,123,0.2006066821004786,0.015701991378887552
183,101,899,0.022619674287033407,0.24121548620935768,0.020848457007981127,0.02082013483490938,0.02082013483490938,898,1,True,3,242,0.10150363157036471,0.02082864530961281,0.020913927004082063,31,0,1,0,0.210693,100.24472806823891,100,0.1936311258572162,0.020828246633882844
184,106,894,0.008369468210118783,0.2624560263632868,0.010683713924772532,0.01070782550598544,0.01070782550598544,893,0,True,3,226,0.10134211051960831,0.010704791915371638,0.010704791915371638,17,0,0,1,,89.16720928598563,106,0.2093773377581804,0.010719378469116338
185,89,911,0.03891211976353294,0.18650800225956285,0.0414676622638986,0.041435216488136854,0.041435216488136854,907,1,True,3,221,0.09848983219859422,0.04146889458588827,0.04163724205923239,11,0,3,1,0.155058,58.567975520992434,88,0.13900993998155003,0.04146331193699783
186,105,895,0.01670052723233791,0.32326584263976854,0.016798884435868446,0.016753717435786266,0.016753717435786266,890,0,True,4,201,0.09810486313484477,0.016770660904532168,0.016770660904532168,100,5,1,4,,155.63595769929776,105,0.6110335662333661,0.01678557812678544
187,98,902,0.022081708663530077,0.17386388577943043,0.022327864861926144,0.022320836838200138,0.022320836838200138,902,1,True,3,241,0.09629459282188496,0.02231707701292845,0.022081708663530077,11,0,0,0,0.154001,69.15569160173193,97,0.15681558198716072,0.02233050818906561
188,103,897,0.00704113964639504,0.2835948598059162,0.007073700418465611,0.007043944009465035,0.007043944009465035,897,0,True,4,223,0.1014716589283152,0.00704113964639504,0.00704113964639504,37,0,0,0,,119.79231152103648,103,0.2995963630782877,0.007039756853646181
189,108,892,0.011502388658966954,0.2256838710001453,0.013259172114083612,0.01329914776564826,0.01329914776564826,889,0,True,4,238,0.09336953153332168,0.013282690517580487,0.013282690517580487,43,0,3,0,,94.09277313913219,108,0.21469240903112244,0.013295710701827888
190,82,918,0.018456625599294948,0.240105877881643,0.012805972381377035,0.01278503599344901,0.01278503599344901,914,0,False,5,223,0.0983985990171142,0.012786623494372594,0.012786623494372594,55,0,0,4,,114.95629237350094,82,0.524361963310153,0.012783476416488703
191,120,880,0.01770432894142493,0.2112154603712424,0.017915663823469197,0.01792090352497997,0.01792090352497997,878,1,True,3,223,0.10325541241473457,0.017915375094955024,0.01803592893852171,8,0,2,0,0.128009,79.60660252973943,119,0.1553077115194299,0.01791802754826105
192,81,919,0.017191736746344777,0.17732984233166366,0.017010198704113327,0.017076746812030755,0.017076746812030755,918,1,True,3,237,0.10301915432652518,0.01704933641428351,0.015993559203440373,8,0,0,1,0.214800,66.7622242798474,80,0.2067522879825202,0.017036693488635672
193,106,894,0.030423368100959823,0.21566064189863876,0.030998611747671267,0.03099502250153647,0.03099502250153647,890,0,False,5,225,0.10070151759358073,0.03099875117901368,0.03099875117901368,7,0,0,4,,69.80488351043013,106,0.22675301125238637,0.030969115823813308
194,98,902,0.01362290230961354,0.2189364609919674,0.012271302539246777,0.01225444619331559,0.01225444619331559,898,0,True,3,235,0.10503492987884433,0.012255521700663286,0.012255521700663286,33,0,2,2,,91.65598324942202,98,0.3752299472310452,0.012255859389176947
195,96,904,0.02774513950418869,0.2696399048083644,0.026032124401584502,0.026026211702623633,0.026026211702623633,901,0,True,3,209,0.09803521933790356,0.026000551886694114,0.026000551886694114,28,0,2,1,,108.68251224127226,96,0.36008454329979617,0.026009150779042776
196,100,900,0.016638555975905998,0.22251710708803324,0.013885183350794564,0.013852928525912033,0.013852928525912033,898,0,True,3,235,0.10710042254681289,0.013873286551064025,0.013873286551064025,28,0,1,1,,86.86357737867466,100,0.22732679625306712,0.013900535194215509
